order_id,order_code,order_date,order_status,order_description,buyer_id,buyer_name,buyer_phone,buyer_address,buyer_email,buyer_discount_%,employee_id,employee_fio,employee_phone,employee_experience,employee_hire_date,position_name,position_salary_min,position_salary_max,item_id,product_id,product_name,product_price,product_stock,product_min_stock,quantity_ordered,price_at_order,line_total,category_name,category_description,supplier_name,supplier_address,supplier_phone,supplier_email,supplier_rating
value,category,date,status,status,value,category,category,category,category,value,value,category,category,category,date,category,amount,amount,value,value,category,amount,value,value,value,amount,amount,category,category,category,category,category,category,value
ID заказа,Уникальный код заказа,Дата создания заказа,Статус заказа,Описание / примечание к заказу,ID покупателя,Имя или название покупателя,Телефон покупателя,Адрес доставки покупателя,Email покупателя,"Персональная скидка покупателя, %",ID сотрудника,ФИО сотрудника,Рабочий телефон сотрудника,Стаж работы сотрудника,Дата приёма сотрудника на работу,Название должности сотрудника,Минимальная зарплата по должности,Максимальная зарплата по должности,ID позиции заказа,ID товара,Название товара,Текущая цена товара на складе,Текущий остаток товара на складе,Минимальный остаток для пополнения,Количество единиц товара в заказе,Цена товара на момент заказа,Сумма по позиции (кол-во × цена),Категория товара,Описание категории товара,Название поставщика,Адрес поставщика,Телефон поставщика,Email поставщика,Рейтинг поставщика (0–10)
1,,,,,,,,,,,,,,,,,,,2,7,Принтер HP LaserJet,16500.00,18,5,1,15000.00,15000.0,,,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
2,ORD2024002,2024-11-02 14:15:00,Доставлен,Крупный заказ стройматериалов,3,"ООО ""СтройКомплект""",+79163456789,'Казань,ул. Баумана,д. 50,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,3,9,Цемент М500 (мешок 50кг),450.00,200,50,50,450.00,22500.0,Строительные материалы,Материалы для ремонта и строительства,"Компания ""Восток-Запад""",'Екатеринбург,ул. Малышева,д. 33',+73432456789
2,ORD2024002,2024-11-02 14:15:00,Доставлен,Крупный заказ стройматериалов,3,"ООО ""СтройКомплект""",+79163456789,'Казань,ул. Баумана,д. 50,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,4,10,Кирпич красный (поддон),3500.00,80,20,10,3500.00,35000.0,Строительные материалы,Материалы для ремонта и строительства,"Компания ""Восток-Запад""",'Екатеринбург,ул. Малышева,д. 33',+73432456789
3,ORD2024003,2024-11-03 09:45:00,Отправлен,Товары для дома,2,Козлова Анна Сергеевна,+79162345678,'Санкт-Петербург,Невский пр.,д. 22,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,5,4,Холодильник Samsung,35000.00,12,3,1,8500.00,8500.0,Бытовая техника,Техника для дома и кухни,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
3,ORD2024003,2024-11-03 09:45:00,Отправлен,Товары для дома,2,Козлова Анна Сергеевна,+79162345678,'Санкт-Петербург,Невский пр.,д. 22,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,6,4,Холодильник Samsung,35000.00,12,3,1,35000.00,35000.0,Бытовая техника,Техника для дома и кухни,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
4,ORD2024004,2024-11-05 16:20:00,Подтвержден,Спортивные товары,4,Морозов Игорь Владимирович,+79164567890,'Новосибирск,ул. Ленина,д. 33,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,7,15,Футбольный мяч Adidas,2200.00,50,15,3,2200.00,6600.0,Спортивные товары,Товары для спорта и активного отдыха,ИП Петров С.Н.,'Омск,ул. Маркса,д. 21',+73812890123
4,ORD2024004,2024-11-05 16:20:00,Подтвержден,Спортивные товары,4,Морозов Игорь Владимирович,+79164567890,'Новосибирск,ул. Ленина,д. 33,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,8,16,Гантели 5кг (пара),1800.00,40,10,2,1800.00,3600.0,Спортивные товары,Товары для спорта и активного отдыха,ИП Петров С.Н.,'Омск,ул. Маркса,д. 21',+73812890123
5,ORD2024005,2024-11-06 11:00:00,В обработке,Электроника,5,Белова Екатерина Дмитриевна,+79165678901,'Екатеринбург,ул. 8 Марта,д. 7,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,9,2,Смартфон Samsung Galaxy A52,30800.00,40,10,1,28000.00,28000.0,,,,,,,
5,ORD2024005,2024-11-06 11:00:00,В обработке,Электроника,5,Белова Екатерина Дмитриевна,+79165678901,'Екатеринбург,ул. 8 Марта,д. 7,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,10,1,,,,,1,45000.00,45000.0,,,,,,,
6,ORD2024006,2024-11-07 13:30:00,Подтвержден,Оптовая закупка канцелярии,6,ИП Кузнецов М.А.,+79166789012,'Краснодар,ул. Красная,д. 100',6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,11,8,Набор ручек Parker 10шт,1500.00,100,20,50,1500.00,75000.0,Канцелярия,Канцелярские товары и принадлежности,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
7,ORD2024007,2024-11-08 10:15:00,Отправлен,Инструменты,7,Николаев Дмитрий Петрович,+79167890123,'Челябинск,пр. Победы,д. 15,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,12,21,Дрель электрическая Bosch,7800.00,22,5,2,7800.00,15600.0,Инструменты,Ручные и электроинструменты,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
7,ORD2024007,2024-11-08 10:15:00,Отправлен,Инструменты,7,Николаев Дмитрий Петрович,+79167890123,'Челябинск,пр. Победы,д. 15,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,13,22,Набор отверток 12шт,950.00,80,20,5,950.00,4750.0,Инструменты,Ручные и электроинструменты,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
8,ORD2024008,2024-11-10 15:45:00,Доставлен,Мебель для офиса,8,"ООО ""ОфисЦентр""",+79168901234,'Омск,ул. Ленина,д. 18,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,14,5,Офисное кресло Comfort Pro,12000.00,30,8,10,12000.00,120000.0,Мебель,Офисная и домашняя мебель,ИП Иванов А.С.,'Казань,ул. Баумана,д. 44',+78432567890
8,ORD2024008,2024-11-10 15:45:00,Доставлен,Мебель для офиса,8,"ООО ""ОфисЦентр""",+79168901234,'Омск,ул. Ленина,д. 18,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,15,6,Письменный стол Монако,18000.00,20,5,5,18000.00,90000.0,Мебель,Офисная и домашняя мебель,ИП Иванов А.С.,'Казань,ул. Баумана,д. 44',+78432567890
